i,t,d,i,s,p,a,w,t,e,n,g
t,w,e,n,t,y,f,i,v,e,k,y
q,u,a,r,t,e,r,m,h,a,l,f
p,a,s,t,o,b,t,w,e,l,v,e
t,e,n,t,w,o,n,e,i,g,h,t
f,o,u,r,s,i,x,s,e,v,e,n
f,i,v,e,l,e,v,e,n,i,n,e
t,h,r,e,e,s,o,c,l,o,c,k
i,n,v,t,h,e,n,a,t,s,u,j
m,o,r,n,i,n,g,n,i,g,h,t
a,f,t,e,r,n,o,o,n,z,c,f
y,m,d,h,s,e,v,e,n,i,n,g
.,.,.,.,.,.,.,.,.,.,.,.
start row,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,7,6,8,8,8,9,9,10,10,11
start col,0,3,6,8,0,6,0,8,0,3,7,0,3,5,7,0,4,7,0,5,8,0,6,0,3,7,0,7,0,5,5
length,2,2,1,3,6,4,7,4,4,2,6,3,3,3,5,4,3,5,4,6,4,5,6,2,3,2,7,5,9,4,7
,it,is,a,ten,twenty,five,quarter,half,past,to,twelve,ten,two,one,eight,four,six,seven,five,eleven,nine,three,oclock,in,the,at,morning,night,afternoon,noon,evening
0:00:00,it,is,,,,,,,,,twelve,,,,,,,,,,,,oclock,,,at,,night,,,
0:05:00,it,is,,,,five,,,past,,twelve,,,,,,,,,,,,,,,at,,night,,,
0:10:00,it,is,,ten,,,,,past,,twelve,,,,,,,,,,,,,,,at,,night,,,
0:15:00,it,is,a,,,,quarter,,past,,twelve,,,,,,,,,,,,,,,at,,night,,,
0:20:00,it,is,,,twenty,,,,past,,twelve,,,,,,,,,,,,,,,at,,night,,,
0:25:00,it,is,,,twenty,five,,,past,,twelve,,,,,,,,,,,,,,,at,,night,,,
0:25:00,it,is,,,,,,half,past,,twelve,,,,,,,,,,,,,,,at,,night,,,
0:35:00,it,is,,,twenty,five,,,,to,,,,one,,,,,,,,,,,,at,,night,,,
0:40:00,it,is,,,twenty,,,,,to,,,,one,,,,,,,,,,,,at,,night,,,
0:45:00,it,is,a,,,,quarter,,,to,,,,one,,,,,,,,,,,,at,,night,,,
0:50:00,it,is,,ten,,,,,,to,,,,one,,,,,,,,,,,,at,,night,,,
0:55:00,it,is,,,,five,,,,to,,,,one,,,,,,,,,,,,at,,night,,,
1:00:00,it,is,,,,,,,,,,,,one,,,,,,,,,oclock,in,the,,morning,,,,
1:05:00,it,is,,,,five,,,past,,,,,one,,,,,,,,,,in,the,,morning,,,,
1:10:00,it,is,,ten,,,,,past,,,,,one,,,,,,,,,,in,the,,morning,,,,
1:15:00,it,is,a,,,,quarter,,past,,,,,one,,,,,,,,,,in,the,,morning,,,,
1:20:00,it,is,,,twenty,,,,past,,,,,one,,,,,,,,,,in,the,,morning,,,,
1:25:00,it,is,,,twenty,five,,,past,,,,,one,,,,,,,,,,in,the,,morning,,,,
1:30:00,it,is,,,,,,half,past,,,,,one,,,,,,,,,,in,the,,morning,,,,
1:35:00,it,is,,,twenty,five,,,,to,,,two,,,,,,,,,,,in,the,,morning,,,,
1:40:00,it,is,,,twenty,,,,,to,,,two,,,,,,,,,,,in,the,,morning,,,,
1:45:00,it,is,a,,,,quarter,,,to,,,two,,,,,,,,,,,in,the,,morning,,,,
1:50:00,it,is,,ten,,,,,,to,,,two,,,,,,,,,,,in,the,,morning,,,,
1:55:00,it,is,,,,five,,,,to,,,two,,,,,,,,,,,in,the,,morning,,,,
2:00:00,it,is,,,,,,,,,,,two,,,,,,,,,,oclock,in,the,,morning,,,,
2:05:00,it,is,,,,five,,,past,,,,two,,,,,,,,,,,in,the,,morning,,,,
2:10:00,it,is,,ten,,,,,past,,,,two,,,,,,,,,,,in,the,,morning,,,,
2:15:00,it,is,a,,,,quarter,,past,,,,two,,,,,,,,,,,in,the,,morning,,,,
2:20:00,it,is,,,twenty,,,,past,,,,two,,,,,,,,,,,in,the,,morning,,,,
2:25:00,it,is,,,twenty,five,,,past,,,,two,,,,,,,,,three,,in,the,,morning,,,,
2:30:00,it,is,,,,,,half,past,,,,,,,,,,,,,three,,in,the,,morning,,,,
2:35:00,it,is,,,twenty,five,,,,to,,,,,,,,,,,,three,,in,the,,morning,,,,
2:40:00,it,is,,,twenty,,,,,to,,,,,,,,,,,,three,,in,the,,morning,,,,
2:45:00,it,is,a,,,,quarter,,,to,,,,,,,,,,,,three,,in,the,,morning,,,,
2:50:00,it,is,,ten,,,,,,to,,,,,,,,,,,,three,,in,the,,morning,,,,
2:55:00,it,is,,,,five,,,,to,,,,,,,,,,,,three,,in,the,,morning,,,,
3:00:00,it,is,,,,,,,,,,,,,,,,,,,,three,oclock,in,the,,morning,,,,
3:05:00,it,is,,,,five,,,past,,,,,,,,,,,,,three,,in,the,,morning,,,,
3:10:00,it,is,,ten,,,,,past,,,,,,,,,,,,,three,,in,the,,morning,,,,
3:15:00,it,is,a,,,,quarter,,past,,,,,,,,,,,,,three,,in,the,,morning,,,,
3:20:00,it,is,,,twenty,,,,past,,,,,,,,,,,,,three,,in,the,,morning,,,,
3:25:00,it,is,,,twenty,five,,,past,,,,,,,,,,,,,three,,in,the,,morning,,,,
3:30:00,it,is,,,,,,half,past,,,,,,,four,,,,,,,,in,the,,morning,,,,
3:35:00,it,is,,,twenty,five,,,,to,,,,,,four,,,,,,,,in,the,,morning,,,,
3:40:00,it,is,,,twenty,,,,,to,,,,,,four,,,,,,,,in,the,,morning,,,,
3:45:00,it,is,a,,,,quarter,,,to,,,,,,four,,,,,,,,in,the,,morning,,,,
3:50:00,it,is,,ten,,,,,,to,,,,,,four,,,,,,,,in,the,,morning,,,,
3:55:00,it,is,,,,five,,,,to,,,,,,four,,,,,,,,in,the,,morning,,,,
4:00:00,it,is,,,,,,,,,,,,,,four,,,,,,,oclock,in,the,,morning,,,,
4:05:00,it,is,,,,five,,,past,,,,,,,four,,,,,,,,in,the,,morning,,,,
4:10:00,it,is,,ten,,,,,past,,,,,,,four,,,,,,,,in,the,,morning,,,,
4:15:00,it,is,a,,,,quarter,,past,,,,,,,four,,,,,,,,in,the,,morning,,,,
4:20:00,it,is,,,twenty,,,,past,,,,,,,four,,,,,,,,in,the,,morning,,,,
4:25:00,it,is,,,twenty,five,,,past,,,,,,,four,,,,,,,,in,the,,morning,,,,
4:30:00,it,is,,,,,,half,past,,,,,,,,,,five,,,,,in,the,,morning,,,,
4:35:00,it,is,,,twenty,five,,,,to,,,,,,,,,five,,,,,in,the,,morning,,,,
4:40:00,it,is,,,twenty,,,,,to,,,,,,,,,five,,,,,in,the,,morning,,,,
4:45:00,it,is,a,,,,quarter,,,to,,,,,,,,,five,,,,,in,the,,morning,,,,
4:50:00,it,is,,ten,,,,,,to,,,,,,,,,five,,,,,in,the,,morning,,,,
4:55:00,it,is,,,,five,,,,to,,,,,,,,,five,,,,,in,the,,morning,,,,
5:00:00,it,is,,,,,,,,,,,,,,,,,five,,,,oclock,in,the,,morning,,,,
5:05:00,it,is,,,,five,,,past,,,,,,,,,,five,,,,,in,the,,morning,,,,
5:10:00,it,is,,ten,,,,,past,,,,,,,,,,five,,,,,in,the,,morning,,,,
5:15:00,it,is,a,,,,quarter,,past,,,,,,,,,,five,,,,,in,the,,morning,,,,
5:20:00,it,is,,,twenty,,,,past,,,,,,,,,,five,,,,,in,the,,morning,,,,
5:25:00,it,is,,,twenty,five,,,past,,,,,,,,,,five,,,,,in,the,,morning,,,,
5:30:00,it,is,,,,,,half,past,,,,,,,,six,,,,,,,in,the,,morning,,,,
5:35:00,it,is,,,twenty,five,,,,to,,,,,,,six,,,,,,,in,the,,morning,,,,
5:40:00,it,is,,,twenty,,,,,to,,,,,,,six,,,,,,,in,the,,morning,,,,
5:45:00,it,is,a,,,,quarter,,,to,,,,,,,six,,,,,,,in,the,,morning,,,,
5:50:00,it,is,,ten,,,,,,to,,,,,,,six,,,,,,,in,the,,morning,,,,
5:55:00,it,is,,,,five,,,,to,,,,,,,six,,,,,,,in,the,,morning,,,,
6:00:00,it,is,,,,,,,,,,,,,,,six,,,,,,oclock,in,the,,morning,,,,
6:05:00,it,is,,,,five,,,past,,,,,,,,six,,,,,,,in,the,,morning,,,,
6:10:00,it,is,,ten,,,,,past,,,,,,,,six,,,,,,,in,the,,morning,,,,
6:15:00,it,is,a,,,,quarter,,past,,,,,,,,six,,,,,,,in,the,,morning,,,,
6:20:00,it,is,,,twenty,,,,past,,,,,,,,six,,,,,,,in,the,,morning,,,,
6:25:00,it,is,,,twenty,five,,,past,,,,,,,,six,,,,,,,in,the,,morning,,,,
6:30:00,it,is,,,,,,half,past,,,,,,,,,seven,,,,,,in,the,,morning,,,,
6:35:00,it,is,,,twenty,five,,,,to,,,,,,,,seven,,,,,,in,the,,morning,,,,
6:40:00,it,is,,,twenty,,,,,to,,,,,,,,seven,,,,,,in,the,,morning,,,,
6:45:00,it,is,a,,,,quarter,,,to,,,,,,,,seven,,,,,,in,the,,morning,,,,
6:50:00,it,is,,ten,,,,,,to,,,,,,,,seven,,,,,,in,the,,morning,,,,
6:55:00,it,is,,,,five,,,,to,,,,,,,,seven,,,,,,in,the,,morning,,,,
7:00:00,it,is,,,,,,,,,,,,,,,,seven,,,,,oclock,in,the,,morning,,,,
7:05:00,it,is,,,,five,,,past,,,,,,,,,seven,,,,,,in,the,,morning,,,,
7:10:00,it,is,,ten,,,,,past,,,,,,,,,seven,,,,,,in,the,,morning,,,,
7:15:00,it,is,a,,,,quarter,,past,,,,,,,,,seven,,,,,,in,the,,morning,,,,
7:20:00,it,is,,,twenty,,,,past,,,,,,,,,seven,,,,,,in,the,,morning,,,,
7:25:00,it,is,,,twenty,five,,,past,,,,,,,,,seven,,,,,,in,the,,morning,,,,
7:30:00,it,is,,,,,,half,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
7:35:00,it,is,,,twenty,five,,,,to,,,,,eight,,,,,,,,,in,the,,morning,,,,
7:40:00,it,is,,,twenty,,,,,to,,,,,eight,,,,,,,,,in,the,,morning,,,,
7:45:00,it,is,a,,,,quarter,,,to,,,,,eight,,,,,,,,,in,the,,morning,,,,
7:50:00,it,is,,ten,,,,,,to,,,,,eight,,,,,,,,,in,the,,morning,,,,
7:55:00,it,is,,,,five,,,,to,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:00:00,it,is,,,,,,,,,,,,,eight,,,,,,,,oclock,in,the,,morning,,,,
8:05:00,it,is,,,,five,,,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:10:00,it,is,,ten,,,,,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:15:00,it,is,a,,,,quarter,,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:20:00,it,is,,,twenty,,,,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:25:00,it,is,,,twenty,five,,,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:30:00,it,is,,,,,,half,past,,,,,,eight,,,,,,,,,in,the,,morning,,,,
8:35:00,it,is,,,twenty,five,,,,to,,,,,,,,,,,nine,,,in,the,,morning,,,,
8:40:00,it,is,,,twenty,,,,,to,,,,,,,,,,,nine,,,in,the,,morning,,,,
8:45:00,it,is,a,,,,quarter,,,to,,,,,,,,,,,nine,,,in,the,,morning,,,,
8:50:00,it,is,,ten,,,,,,to,,,,,,,,,,,nine,,,in,the,,morning,,,,
8:55:00,it,is,,,,five,,,,to,,,,,,,,,,,nine,,,in,the,,morning,,,,
9:00:00,it,is,,,,,,,,,,,,,,,,,,,nine,,oclock,in,the,,morning,,,,
9:05:00,it,is,,,,five,,,past,,,,,,,,,,,,nine,,,in,the,,morning,,,,
9:10:00,it,is,,ten,,,,,past,,,,,,,,,,,,nine,,,in,the,,morning,,,,
9:15:00,it,is,a,,,,quarter,,past,,,,,,,,,,,,nine,,,in,the,,morning,,,,
9:20:00,it,is,,,twenty,,,,past,,,,,,,,,,,,nine,,,in,the,,morning,,,,
9:25:00,it,is,,,twenty,five,,,past,,,,,,,,,,,,nine,,,in,the,,morning,,,,
9:30:00,it,is,,,,,,half,past,,,ten,,,,,,,,,,,,in,the,,morning,,,,
9:35:00,it,is,,,twenty,five,,,,to,,ten,,,,,,,,,,,,in,the,,morning,,,,
9:40:00,it,is,,,twenty,,,,,to,,ten,,,,,,,,,,,,in,the,,morning,,,,
9:45:00,it,is,a,,,,quarter,,,to,,ten,,,,,,,,,,,,in,the,,morning,,,,
9:50:00,it,is,,ten,,,,,,to,,ten,,,,,,,,,,,,in,the,,morning,,,,
9:55:00,it,is,,,,five,,,,to,,ten,,,,,,,,,,,,in,the,,morning,,,,
10:00:00,it,is,,,,,,,,,,ten,,,,,,,,,,,oclock,in,the,,morning,,,,
10:05:00,it,is,,,,five,,,past,,,ten,,,,,,,,,,,,in,the,,morning,,,,
10:10:00,it,is,,ten,,,,,past,,,ten,,,,,,,,,,,,in,the,,morning,,,,
10:15:00,it,is,a,,,,quarter,,past,,,ten,,,,,,,,,,,,in,the,,morning,,,,
10:20:00,it,is,,,twenty,,,,past,,,ten,,,,,,,,,,,,in,the,,morning,,,,
10:25:00,it,is,,,twenty,five,,,past,,,ten,,,,,,,,,,,,in,the,,morning,,,,
10:30:00,it,is,,,,,,half,past,,,,,,,,,,,eleven,,,,in,the,,morning,,,,
10:35:00,it,is,,,twenty,five,,,,to,,,,,,,,,,eleven,,,,in,the,,morning,,,,
10:40:00,it,is,,,twenty,,,,,to,,,,,,,,,,eleven,,,,in,the,,morning,,,,
10:45:00,it,is,a,,,,quarter,,,to,,,,,,,,,,eleven,,,,in,the,,morning,,,,
10:50:00,it,is,,ten,,,,,,to,,,,,,,,,,eleven,,,,in,the,,morning,,,,
10:55:00,it,is,,,,five,,,,to,,,,,,,,,,eleven,,,,in,the,,morning,,,,
11:00:00,it,is,,,,,,,,,,,,,,,,,,eleven,,,oclock,in,the,,morning,,,,
11:05:00,it,is,,,,five,,,past,,,,,,,,,,,eleven,,,,in,the,,morning,,,,
11:10:00,it,is,,ten,,,,,past,,,,,,,,,,,eleven,,,,in,the,,morning,,,,
11:15:00,it,is,a,,,,quarter,,past,,,,,,,,,,,eleven,,,,in,the,,morning,,,,
11:20:00,it,is,,,twenty,,,,past,,,,,,,,,,,eleven,,,,in,the,,morning,,,,
11:25:00,it,is,,,twenty,five,,,past,,,,,,,,,,,eleven,,,,in,the,,morning,,,,
11:30:00,it,is,,,,,,half,past,,,,,,,,,,,eleven,,,,,,,,,,noon,
